"MYE2: Persons by single year of age and sex for local authorities in England and Wales, mid-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K04000001,ENGLAND AND WALES,Country," 	60,238,038 "," 	625,535 "," 	621,259 "," 	645,971 "," 	658,620 "," 	668,516 "," 	684,763 "," 	705,139 "," 	699,139 "," 	703,789 "," 	722,084 "," 	741,988 "," 	743,374 "," 	733,913 "," 	728,398 "," 	735,313 "," 	706,806 "," 	690,639 "," 	691,289 "," 	692,306 "," 	695,327 "," 	700,781 "," 	702,954 "," 	715,415 "," 	746,160 "," 	755,579 "," 	771,753 "," 	760,968 "," 	774,977 "," 	798,095 "," 	801,587 "," 	827,724 "," 	840,762 "," 	840,374 "," 	835,741 "," 	846,276 "," 	827,610 "," 	821,222 "," 	817,994 "," 	792,187 "," 	793,016 "," 	788,885 "," 	797,433 "," 	800,749 "," 	767,189 "," 	713,607 "," 	700,711 "," 	715,460 "," 	730,802 "," 	739,835 "," 	769,052 "," 	798,456 "," 	828,450 "," 	806,747 "," 	825,014 "," 	821,424 "," 	826,535 "," 	822,673 "," 	824,307 "," 	812,174 "," 	792,171 "," 	772,596 "," 	742,533 "," 	711,155 "," 	691,017 "," 	670,113 "," 	640,934 "," 	614,274 "," 	588,383 "," 	587,515 "," 	574,734 "," 	554,711 "," 	554,483 "," 	559,053 "," 	567,895 "," 	594,814 "," 	637,196 "," 	480,274 "," 	458,320 "," 	447,583 "," 	404,906 "," 	352,760 "," 	305,691 "," 	306,578 "," 	292,345 "," 	271,160 "," 	244,345 "," 	217,396 "," 	192,046 "," 	163,690 "," 	141,686 "," 	550,835 "
E92000001,ENGLAND,Country," 	57,106,398 "," 	596,306 "," 	592,565 "," 	615,537 "," 	627,205 "," 	635,769 "," 	651,286 "," 	670,086 "," 	664,362 "," 	668,746 "," 	686,025 "," 	704,880 "," 	705,655 "," 	696,726 "," 	691,424 "," 	697,673 "," 	671,075 "," 	655,635 "," 	655,951 "," 	657,439 "," 	658,559 "," 	663,473 "," 	665,659 "," 	678,952 "," 	708,956 "," 	718,885 "," 	733,638 "," 	724,312 "," 	738,108 "," 	760,175 "," 	763,478 "," 	788,041 "," 	800,484 "," 	800,816 "," 	796,070 "," 	805,888 "," 	788,032 "," 	782,199 "," 	779,114 "," 	754,938 "," 	755,629 "," 	751,852 "," 	759,832 "," 	762,758 "," 	731,096 "," 	680,454 "," 	667,751 "," 	681,617 "," 	695,601 "," 	703,591 "," 	730,686 "," 	757,604 "," 	785,019 "," 	764,838 "," 	781,127 "," 	778,113 "," 	782,305 "," 	778,320 "," 	778,706 "," 	766,703 "," 	747,731 "," 	728,815 "," 	700,335 "," 	670,265 "," 	650,773 "," 	630,888 "," 	603,109 "," 	578,012 "," 	553,467 "," 	551,880 "," 	539,339 "," 	520,910 "," 	520,567 "," 	524,680 "," 	533,111 "," 	558,468 "," 	599,470 "," 	451,879 "," 	430,771 "," 	421,021 "," 	380,639 "," 	330,970 "," 	286,768 "," 	288,665 "," 	275,638 "," 	255,632 "," 	230,387 "," 	204,960 "," 	181,186 "," 	154,369 "," 	133,640 "," 	520,329 "
E12000001,NORTH EAST,Region," 	2,683,040 "," 	25,453 "," 	25,572 "," 	26,261 "," 	27,574 "," 	28,181 "," 	29,259 "," 	30,031 "," 	29,687 "," 	30,360 "," 	31,203 "," 	31,768 "," 	32,191 "," 	31,603 "," 	30,967 "," 	31,603 "," 	30,293 "," 	29,907 "," 	29,338 "," 	30,158 "," 	35,081 "," 	35,432 "," 	33,941 "," 	32,283 "," 	31,534 "," 	31,689 "," 	32,768 "," 	31,774 "," 	32,597 "," 	32,848 "," 	33,249 "," 	34,712 "," 	34,659 "," 	34,057 "," 	33,977 "," 	34,985 "," 	34,566 "," 	34,812 "," 	34,230 "," 	33,007 "," 	32,785 "," 	32,535 "," 	32,887 "," 	33,242 "," 	32,167 "," 	28,758 "," 	27,537 "," 	29,469 "," 	30,056 "," 	30,451 "," 	32,416 "," 	35,041 "," 	37,084 "," 	35,379 "," 	36,170 "," 	36,960 "," 	37,872 "," 	38,304 "," 	39,061 "," 	38,474 "," 	38,457 "," 	38,168 "," 	36,491 "," 	35,377 "," 	35,456 "," 	34,764 "," 	33,269 "," 	32,037 "," 	30,499 "," 	30,159 "," 	29,627 "," 	28,299 "," 	28,020 "," 	28,108 "," 	28,430 "," 	29,433 "," 	31,501 "," 	22,984 "," 	21,713 "," 	20,690 "," 	17,977 "," 	16,185 "," 	14,629 "," 	14,674 "," 	13,958 "," 	13,030 "," 	11,852 "," 	10,070 "," 	9,142 "," 	7,584 "," 	6,515 "," 	23,684 "
E06000047,County Durham,Unitary Authority," 	528,127 "," 	4,649 "," 	4,696 "," 	4,876 "," 	5,020 "," 	5,131 "," 	5,293 "," 	5,595 "," 	5,555 "," 	5,720 "," 	5,878 "," 	5,944 "," 	6,048 "," 	6,046 "," 	5,800 "," 	6,055 "," 	5,920 "," 	5,722 "," 	5,593 "," 	6,080 "," 	9,171 "," 	9,087 "," 	7,587 "," 	6,481 "," 	6,067 "," 	5,798 "," 	5,907 "," 	5,637 "," 	5,680 "," 	5,742 "," 	5,954 "," 	6,220 "," 	6,330 "," 	6,186 "," 	6,131 "," 	6,341 "," 	6,246 "," 	6,368 "," 	6,196 "," 	6,093 "," 	6,245 "," 	6,193 "," 	6,259 "," 	6,177 "," 	6,209 "," 	5,558 "," 	5,320 "," 	5,657 "," 	5,816 "," 	6,012 "," 	6,669 "," 	7,119 "," 	7,617 "," 	7,185 "," 	7,589 "," 	7,704 "," 	7,930 "," 	7,997 "," 	8,148 "," 	8,002 "," 	7,795 "," 	7,804 "," 	7,407 "," 	6,962 "," 	7,260 "," 	6,942 "," 	6,680 "," 	6,471 "," 	6,302 "," 	6,113 "," 	6,103 "," 	5,800 "," 	5,851 "," 	5,743 "," 	5,955 "," 	6,001 "," 	6,481 "," 	4,834 "," 	4,681 "," 	4,534 "," 	3,812 "," 	3,353 "," 	3,123 "," 	2,996 "," 	2,787 "," 	2,612 "," 	2,442 "," 	2,029 "," 	1,816 "," 	1,519 "," 	1,293 "," 	4,377 "
E06000005,Darlington,Unitary Authority," 	109,469 "," 	1,066 "," 	1,066 "," 	1,131 "," 	1,129 "," 	1,194 "," 	1,127 "," 	1,232 "," 	1,244 "," 	1,268 "," 	1,319 "," 	1,360 "," 	1,318 "," 	1,356 "," 	1,394 "," 	1,366 "," 	1,309 "," 	1,263 "," 	1,290 "," 	1,192 ", 	919 , 	852 , 	865 ," 	1,117 "," 	1,190 "," 	1,261 "," 	1,258 "," 	1,265 "," 	1,251 "," 	1,347 "," 	1,359 "," 	1,383 "," 	1,526 "," 	1,414 "," 	1,420 "," 	1,450 "," 	1,377 "," 	1,426 "," 	1,349 "," 	1,352 "," 	1,313 "," 	1,328 "," 	1,369 "," 	1,418 "," 	1,420 "," 	1,327 "," 	1,211 "," 	1,293 "," 	1,332 "," 	1,344 "," 	1,414 "," 	1,485 "," 	1,604 "," 	1,549 "," 	1,524 "," 	1,587 "," 	1,555 "," 	1,649 "," 	1,625 "," 	1,535 "," 	1,596 "," 	1,538 "," 	1,527 "," 	1,403 "," 	1,413 "," 	1,401 "," 	1,288 "," 	1,301 "," 	1,181 "," 	1,193 "," 	1,175 "," 	1,133 "," 	1,144 "," 	1,108 "," 	1,180 "," 	1,194 "," 	1,313 ", 	978 , 	930 , 	824 , 	718 , 	647 , 	639 , 	644 , 	609 , 	552 , 	486 , 	416 , 	404 , 	310 , 	303 ," 	1,034 "
E06000001,Hartlepool,Unitary Authority," 	93,861 ", 	905 , 	941 ," 	1,021 "," 	1,040 "," 	1,018 "," 	1,119 "," 	1,121 "," 	1,068 "," 	1,149 "," 	1,170 "," 	1,153 "," 	1,244 "," 	1,222 "," 	1,225 "," 	1,249 "," 	1,135 "," 	1,186 "," 	1,150 "," 	1,132 ", 	863 , 	870 ," 	1,035 "," 	1,083 "," 	1,124 "," 	1,028 "," 	1,138 "," 	1,068 "," 	1,117 "," 	1,132 "," 	1,129 "," 	1,173 "," 	1,217 "," 	1,158 "," 	1,187 "," 	1,246 "," 	1,194 "," 	1,178 "," 	1,173 "," 	1,111 "," 	1,059 "," 	1,110 "," 	1,096 "," 	1,105 "," 	1,056 ", 	968 , 	951 ," 	1,010 ", 	962 , 	992 ," 	1,165 "," 	1,241 "," 	1,313 "," 	1,264 "," 	1,293 "," 	1,345 "," 	1,441 "," 	1,414 "," 	1,460 "," 	1,390 "," 	1,441 "," 	1,422 "," 	1,413 "," 	1,254 "," 	1,322 "," 	1,164 "," 	1,205 "," 	1,085 "," 	1,094 ", 	968 ," 	1,037 "," 	1,012 ", 	931 ," 	1,024 ", 	993 , 	986 ," 	1,055 ", 	754 , 	686 , 	642 , 	532 , 	533 , 	466 , 	488 , 	447 , 	462 , 	430 , 	314 , 	325 , 	259 , 	220 , 	790 
E06000002,Middlesbrough,Unitary Authority," 	148,285 "," 	1,775 "," 	1,683 "," 	1,764 "," 	1,857 "," 	1,890 "," 	2,006 "," 	1,907 "," 	1,955 "," 	1,965 "," 	2,061 "," 	2,037 "," 	2,082 "," 	2,000 "," 	1,822 "," 	1,862 "," 	1,838 "," 	1,832 "," 	1,804 "," 	1,801 "," 	1,671 "," 	1,704 "," 	1,904 "," 	1,966 "," 	1,966 "," 	2,352 "," 	2,346 "," 	2,349 "," 	2,347 "," 	2,292 "," 	2,296 "," 	2,325 "," 	2,154 "," 	2,240 "," 	2,241 "," 	2,233 "," 	2,219 "," 	2,196 "," 	2,069 "," 	1,984 "," 	1,846 "," 	1,812 "," 	1,801 "," 	1,784 "," 	1,678 "," 	1,480 "," 	1,455 "," 	1,530 "," 	1,569 "," 	1,524 "," 	1,595 "," 	1,640 "," 	1,734 "," 	1,690 "," 	1,645 "," 	1,806 "," 	1,762 "," 	1,833 "," 	1,895 "," 	1,835 "," 	1,844 "," 	1,924 "," 	1,768 "," 	1,747 "," 	1,703 "," 	1,734 "," 	1,681 "," 	1,547 "," 	1,505 "," 	1,385 "," 	1,415 "," 	1,278 "," 	1,268 "," 	1,239 "," 	1,213 "," 	1,233 "," 	1,343 ", 	956 , 	911 , 	828 , 	767 , 	762 , 	630 , 	626 , 	603 , 	575 , 	501 , 	475 , 	394 , 	338 , 	296 ," 	1,087 "
E06000057,Northumberland,Unitary Authority," 	324,362 "," 	2,555 "," 	2,744 "," 	2,708 "," 	2,919 "," 	3,076 "," 	3,160 "," 	3,269 "," 	3,260 "," 	3,376 "," 	3,485 "," 	3,588 "," 	3,636 "," 	3,549 "," 	3,466 "," 	3,644 "," 	3,360 "," 	3,452 "," 	3,343 "," 	3,243 "," 	2,575 "," 	2,364 "," 	2,575 "," 	2,743 "," 	3,011 "," 	3,115 "," 	3,132 "," 	3,007 "," 	3,222 "," 	3,228 "," 	3,257 "," 	3,525 "," 	3,495 "," 	3,410 "," 	3,465 "," 	3,600 "," 	3,636 "," 	3,539 "," 	3,670 "," 	3,524 "," 	3,503 "," 	3,607 "," 	3,577 "," 	3,844 "," 	3,741 "," 	3,270 "," 	3,286 "," 	3,577 "," 	3,717 "," 	3,816 "," 	4,047 "," 	4,442 "," 	4,712 "," 	4,452 "," 	4,654 "," 	4,797 "," 	4,944 "," 	4,988 "," 	5,318 "," 	5,274 "," 	5,170 "," 	5,282 "," 	5,081 "," 	5,176 "," 	5,048 "," 	4,928 "," 	4,792 "," 	4,783 "," 	4,508 "," 	4,570 "," 	4,448 "," 	4,330 "," 	4,338 "," 	4,316 "," 	4,404 "," 	4,754 "," 	4,938 "," 	3,580 "," 	3,443 "," 	3,309 "," 	2,901 "," 	2,460 "," 	2,186 "," 	2,149 "," 	2,027 "," 	1,843 "," 	1,733 "," 	1,497 "," 	1,336 "," 	1,077 ", 	924 ," 	3,539 "
E06000003,Redcar and Cleveland,Unitary Authority," 	137,175 "," 	1,323 "," 	1,196 "," 	1,323 "," 	1,378 "," 	1,413 "," 	1,533 "," 	1,464 "," 	1,549 "," 	1,538 "," 	1,640 "," 	1,714 "," 	1,705 "," 	1,611 "," 	1,505 "," 	1,654 "," 	1,609 "," 	1,602 "," 	1,473 "," 	1,481 "," 	1,121 "," 	1,153 "," 	1,184 "," 	1,335 "," 	1,429 "," 	1,432 "," 	1,409 "," 	1,463 "," 	1,442 "," 	1,500 "," 	1,495 "," 	1,662 "," 	1,632 "," 	1,555 "," 	1,592 "," 	1,604 "," 	1,585 "," 	1,559 "," 	1,656 "," 	1,496 "," 	1,476 "," 	1,543 "," 	1,565 "," 	1,577 "," 	1,457 "," 	1,379 "," 	1,300 "," 	1,473 "," 	1,423 "," 	1,537 "," 	1,649 "," 	1,810 "," 	1,947 "," 	1,897 "," 	1,980 "," 	1,959 "," 	2,149 "," 	2,225 "," 	2,159 "," 	2,113 "," 	2,160 "," 	2,112 "," 	1,992 "," 	1,975 "," 	1,962 "," 	1,960 "," 	1,772 "," 	1,782 "," 	1,646 "," 	1,712 "," 	1,691 "," 	1,616 "," 	1,594 "," 	1,614 "," 	1,699 "," 	1,684 "," 	1,879 "," 	1,475 "," 	1,330 "," 	1,291 "," 	1,073 "," 	1,054 ", 	905 , 	907 , 	896 , 	760 , 	727 , 	614 , 	514 , 	432 , 	360 ," 	1,354 "
E06000004,Stockton-on-Tees,Unitary Authority," 	199,966 "," 	1,971 "," 	1,948 "," 	2,149 "," 	2,222 "," 	2,234 "," 	2,422 "," 	2,456 "," 	2,438 "," 	2,450 "," 	2,699 "," 	2,649 "," 	2,786 "," 	2,636 "," 	2,645 "," 	2,665 "," 	2,550 "," 	2,495 "," 	2,387 "," 	2,290 "," 	1,584 "," 	1,532 "," 	1,660 "," 	1,993 "," 	2,081 "," 	2,041 "," 	2,433 "," 	2,242 "," 	2,354 "," 	2,535 "," 	2,567 "," 	2,731 "," 	2,692 "," 	2,610 "," 	2,660 "," 	2,810 "," 	2,701 "," 	2,828 "," 	2,826 "," 	2,761 "," 	2,643 "," 	2,497 "," 	2,700 "," 	2,640 "," 	2,577 "," 	2,281 "," 	2,146 "," 	2,252 "," 	2,336 "," 	2,437 "," 	2,372 "," 	2,684 "," 	2,748 "," 	2,783 "," 	2,738 "," 	2,781 "," 	2,832 "," 	2,832 "," 	2,783 "," 	2,761 "," 	2,838 "," 	2,826 "," 	2,644 "," 	2,592 "," 	2,553 "," 	2,479 "," 	2,469 "," 	2,319 "," 	2,119 "," 	2,178 "," 	2,067 "," 	2,044 "," 	1,980 "," 	1,940 "," 	1,979 "," 	2,051 "," 	2,163 "," 	1,540 "," 	1,450 "," 	1,413 "," 	1,202 "," 	1,175 "," 	1,051 "," 	1,004 ", 	943 , 	897 , 	771 , 	650 , 	610 , 	477 , 	402 ," 	1,584 "
E11000007,Tyne and Wear (Met County),Metropolitan County," 	1,141,795 "," 	11,209 "," 	11,298 "," 	11,289 "," 	12,009 "," 	12,225 "," 	12,599 "," 	12,987 "," 	12,618 "," 	12,894 "," 	12,951 "," 	13,323 "," 	13,372 "," 	13,183 "," 	13,110 "," 	13,108 "," 	12,572 "," 	12,355 "," 	12,298 "," 	12,939 "," 	17,177 "," 	17,870 "," 	17,131 "," 	15,565 "," 	14,666 "," 	14,662 "," 	15,145 "," 	14,743 "," 	15,184 "," 	15,072 "," 	15,192 "," 	15,693 "," 	15,613 "," 	15,484 "," 	15,281 "," 	15,701 "," 	15,608 "," 	15,718 "," 	15,291 "," 	14,686 "," 	14,700 "," 	14,445 "," 	14,520 "," 	14,697 "," 	14,029 "," 	12,495 "," 	11,868 "," 	12,677 "," 	12,901 "," 	12,789 "," 	13,505 "," 	14,620 "," 	15,409 "," 	14,559 "," 	14,747 "," 	14,981 "," 	15,259 "," 	15,366 "," 	15,673 "," 	15,564 "," 	15,613 "," 	15,260 "," 	14,659 "," 	14,268 "," 	14,195 "," 	14,156 "," 	13,382 "," 	12,749 "," 	12,144 "," 	12,040 "," 	11,691 "," 	11,086 "," 	10,914 "," 	11,124 "," 	11,007 "," 	11,530 "," 	12,329 "," 	8,867 "," 	8,282 "," 	7,849 "," 	6,972 "," 	6,201 "," 	5,629 "," 	5,860 "," 	5,646 "," 	5,329 "," 	4,762 "," 	4,075 "," 	3,743 "," 	3,172 "," 	2,717 "," 	9,919 "
